sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
10342,282479,1,1,AN10B034,AN10B034_R,,,BA,ascending_neuron,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,301842,2,1,ORN_DA3,ORN_DA3_unknown,ORN_DA3,olfactory,,cb_sensory,,unknown,target_to_SIFa,male-cns:v1.0,other,unknown
10342,302985,1,1,ORN_DA1,ORN_DA1_L,ORN_DA1,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,321572,1,1,ORN_DL1,ORN_DL1_R,ORN_DL1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,331721,2,2,AN27X004,AN27X004_R,,,BA,ascending_neuron,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,339719,1,1,TRN_VP2,TRN_VP2_L,TRN_VP2,thermosensory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,350976,3,3,,,,,,,,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,356393,1,1,ORN_DP1m,ORN_DP1m_L,ORN_DP1m,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,423778,1,1,ORN_VC3,ORN_VC3_L,ORN_VC3l,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,425802,2,1,ORN_DA3,ORN_DA3_unknown,ORN_DA3,olfactory,,cb_sensory,,unknown,target_to_SIFa,male-cns:v1.0,other,unknown
